Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-7950.61	-8201.792	251.182	0.8821028	1.909664	0.519924	0.480076	6.532763
6	-7925.364	-8177.744	252.3805	0.9692907	2.002109	0.523997	0.476003	5.803068
12	-7915.263	-8166.742	251.4794	1.002394	2.145466	0.506941	0.493059	6.23185
18	-7920.784	-8173.316	252.5323	1.009339	1.819263	0.479596	0.520404	5.758971
24	-7923.895	-8174.863	250.9685	0.8445814	1.976644	0.535739	0.464261	6.646805
30	-7923.162	-8173.665	250.5025	0.8329341	2.046628	0.514153	0.485847	6.882616
36	-7918.693	-8169.911	251.2174	0.8946163	1.87432	0.514153	0.485847	6.518501
42	-7925.379	-8176.064	250.6847	0.9267227	2.194708	0.541933	0.458067	6.688897
48	-7923.13	-8173.68	250.5501	0.8630975	1.631625	0.420757	0.579243	6.981226
54	-7917.157	-8167.721	250.5644	0.8575461	1.832173	0.42964	0.57036	6.90555
60	-7929.168	-8179.503	250.3342	0.8355948	1.649186	0.42964	0.57036	7.105762
66	-7928.034	-8177.517	249.4821	0.8244229	1.849506	0.500065	0.499935	7.499041
72	-7932.616	-8182.533	249.9167	0.8672329	1.669167	0.587493	0.412507	7.305792
78	-7937.617	-8188.561	250.944	0.9129055	1.881473	0.517694	0.482306	6.654166
84	-7923.785	-8173.9	250.1145	0.9438206	1.8107	0.475248	0.524752	7.108589
90	-7937.603	-8187.893	250.2897	0.8942566	1.620959	0.462803	0.537197	7.108589
96	-7937.832	-8188.527	250.6951	0.892816	1.772124	0.535634	0.464366	6.836639
102	-7921.875	-8171.588	249.7124	0.9203494	1.701372	0.423319	0.576681	7.375341
108	-7935.141	-8186.248	251.1071	0.9089893	1.701372	0.423319	0.576681	6.630426
114	-7933.764	-8184.023	250.2592	0.8884288	1.9286	0.485968	0.514032	7.021297
120	-7933.074	-8182.304	249.2305	0.8240561	1.885936	0.495819	0.504181	7.621877
126	-7925.81	-8175.011	249.2009	0.7938838	1.985246	0.539189	0.460811	7.621877
132	-7922.275	-8172.781	250.5055	0.8358607	1.841419	0.467092	0.532908	6.945837
138	-7927.705	-8177.091	249.3866	0.8778172	1.743044	0.496589	0.503411	7.55798
144	-7926.591	-8177.367	250.7754	0.9302235	2.077605	0.467161	0.532839	6.673226
150	-7921.17	-8172.063	250.8931	0.9385252	2.179977	0.453203	0.546797	6.574121
156	-7922.274	-8172.278	250.0042	0.8978682	1.897294	0.501651	0.498349	7.163649
162	-7931.622	-8182.522	250.8995	0.935698	2.171254	0.53233	0.46767	6.574797
168	-7935.822	-8187.035	251.2129	0.8978571	1.877114	0.507129	0.492871	6.518267
174	-7942.321	-8193.918	251.5968	0.9245474	2.186742	0.494681	0.505319	6.197989
180	-7930.027	-8181.279	251.2523	0.8953099	2.061843	0.457023	0.542977	6.438862
186	-7928.833	-8179.087	250.2542	0.8693247	1.784977	0.515404	0.484596	7.08234
192	-7931.384	-8181.034	249.6499	0.8381779	1.784977	0.564997	0.435003	7.423597
198	-7924.248	-8174.205	249.9572	0.9224812	1.906025	0.481409	0.518591	7.172789
204	-7921.162	-8171.538	250.376	0.9177004	1.964859	0.494455	0.505545	6.930936
210	-7940.36	-8190.481	250.1207	0.8700425	1.736333	0.568718	0.431282	7.170728
216	-7932.583	-8182.829	250.2459	0.9041878	1.823799	0.505974	0.494026	7.05478
222	-7934.698	-8185.337	250.6388	0.8894234	2.047338	0.494255	0.505745	6.778375
228	-7925.554	-8176.356	250.8023	0.9158269	1.965786	0.514051	0.485949	6.701639
234	-7933.822	-8183.586	249.7642	0.9013965	1.965786	0.474145	0.525855	7.268473
240	-7942.95	-8193.165	250.2155	0.8903088	1.743996	0.542329	0.457671	7.106168
246	-7935.067	-8184.409	249.3425	0.8582944	1.973561	0.527736	0.472264	7.515289
252	-7928.176	-8178.074	249.8973	0.8371287	1.973561	0.496626	0.503374	7.229025
258	-7925.305	-8175.019	249.7138	0.855187	1.748421	0.472115	0.527885	7.392909
264	-7930.821	-8183.536	252.7153	0.9653753	1.860801	0.495234	0.504766	5.66851
270	-7928.29	-8178.2	249.9101	0.8664494	2.261714	0.545685	0.454315	7.119466
276	-7929.309	-8179.422	250.1133	0.8198896	1.982182	0.513943	0.486057	7.119466
282	-7938.626	-8189.597	250.9709	0.8751715	1.704888	0.524644	0.475356	6.72107
288	-7935.824	-8186.406	250.5817	1.007303	2.127324	0.538121	0.461879	6.72107
294	-7929.474	-8179.635	250.1619	0.8871081	2.08757	0.538121	0.461879	7.024345
300	-7914.422	-8165.678	251.256	0.9904627	1.911553	0.530051	0.469949	6.433334
306	-7924.516	-8175.325	250.8088	0.9106187	1.911553	0.466724	0.533276	6.718543
312	-7929.391	-8180.475	251.0841	0.933449	1.875676	0.468113	0.531887	6.569191
318	-7934.534	-8185.428	250.8934	0.9111517	2.246855	0.532321	0.467679	6.569191
324	-7931.039	-8180.004	248.9649	0.8591478	2.017575	0.508482	0.491518	7.703052
330	-7924.268	-8174.221	249.9524	0.8991777	1.672237	0.440117	0.559883	7.268365
336	-7925.357	-8176.241	250.8844	0.9149765	1.833293	0.470319	0.529681	6.701455
342	-7920.92	-8171.602	250.6825	0.9696232	2.079812	0.576682	0.423318	6.701455
348	-7934.883	-8184.864	249.9806	0.9828725	2.092416	0.437817	0.562183	7.068888
354	-7940.61	-8191.034	250.4243	0.8513238	1.747445	0.455877	0.544123	7.013558
360	-7926.306	-8176.314	250.0081	0.9454493	1.821777	0.485393	0.514607	7.16115
366	-7929.531	-8181.025	251.4941	0.9467477	1.717898	0.520778	0.479222	6.394434
372	-7939.457	-8189.491	250.0343	0.9825256	2.042212	0.523148	0.476852	7.055634
378	-7954.765	-8205.75	250.9856	0.9718757	1.548591	0.452602	0.547398	6.71912
384	-7952.224	-8202.638	250.4138	0.8512757	1.73382	0.536706	0.463294	7.024047
390	-7939.139	-8188.893	249.7543	0.8365927	1.916661	0.542392	0.457608	7.324432
396	-7944.064	-8194.102	250.0379	0.9007062	1.894686	0.43888	0.56112	7.144849
402	-7957.758	-8207.642	249.8843	1.012001	2.134866	0.466826	0.533174	7.092218
408	-7943.93	-8193.435	249.5048	0.9579487	1.922008	0.485588	0.514412	7.391443
414	-7951.851	-8200.219	248.368	0.7554799	1.820193	0.461606	0.538394	8.140831
420	-7933.795	-8182.814	249.0192	0.7641913	1.670187	0.495369	0.504631	7.841104
426	-7917.76	-8168.29	250.5302	0.9126819	1.670187	0.509274	0.490726	6.951096
432	-7928.021	-8179.06	251.0391	1.02419	2.075734	0.498335	0.501665	6.480262
438	-7941.307	-8191.595	250.2881	0.8916126	1.980213	0.498335	0.501665	6.987452
444	-7937.926	-8189.613	251.6876	0.8910709	1.980213	0.540087	0.459913	6.230625
450	-7932.486	-8182.897	250.4106	0.8342147	1.765243	0.491839	0.508161	7.02391
456	-7931.154	-8182.785	251.631	0.9479806	1.765243	0.467845	0.532155	6.30265
462	-7951.483	-8201.57	250.0867	0.8666082	1.804547	0.421273	0.578727	7.167172
468	-7958.552	-8208.75	250.1978	0.7749013	1.774276	0.475188	0.524812	7.167172
474	-7946.425	-8197.807	251.3816	0.8973623	1.908871	0.48905	0.51095	6.416591
480	-7947.316	-8197.891	250.5751	0.9052324	1.781529	0.503842	0.496158	6.891413
486	-7938.679	-8189.217	250.538	0.9217981	1.813676	0.509954	0.490046	6.891413
492	-7946.248	-8196.15	249.902	0.8146528	1.942669	0.546872	0.453128	7.248453
498	-7947.65	-8197.384	249.734	0.8245019	2.128728	0.542658	0.457342	7.275561
504	-7945.642	-8195.946	250.304	0.9071264	2.185489	0.500892	0.499108	6.90761
510	-7950.474	-8201.542	251.0679	0.9893324	2.186629	0.500892	0.499108	6.449981
516	-7944.844	-8197.814	252.9705	0.9893324	2.01595	0.524094	0.475906	5.463877
522	-7932.246	-8184.463	252.217	1.080229	2.001007	0.498494	0.501506	5.832167
528	-7933.919	-8184.108	250.1888	1.039952	2.058411	0.53815	0.46185	6.936495
534	-7932.993	-8183.208	250.215	0.8915953	1.997858	0.470961	0.529039	7.021214
540	-7935.596	-8186.221	250.6249	0.9280581	1.997858	0.503901	0.496099	6.78056
546	-7929.7	-8179.713	250.0135	0.8709016	2.19569	0.436732	0.563268	7.080581
552	-7941.592	-8191.633	250.041	0.8227479	1.77115	0.45565	0.54435	7.2268
558	-7927.55	-8176.988	249.4386	0.7967452	1.77115	0.526397	0.473603	7.563774
564	-7927.116	-8176.182	249.0661	0.7998092	2.136457	0.465119	0.534881	7.64446
570	-7928.207	-8177.925	249.7182	0.8984065	1.810305	0.421404	0.578596	7.346001
576	-7941.033	-8191.601	250.5676	0.8074921	1.810305	0.444094	0.555906	6.938218
582	-7931.541	-8181.65	250.1091	0.851135	2.051033	0.444094	0.555906	7.083321
588	-7935.811	-8185.382	249.571	0.8088241	1.998283	0.482685	0.517315	7.411535
594	-7934.686	-8184.989	250.3036	0.82991	1.415772	0.503091	0.496909	7.216019
600	-7920.456	-8169.843	249.3869	0.7788698	2.283068	0.477098	0.522902	7.441269
606	-7923.911	-8173.58	249.6688	0.7736884	1.886111	0.546058	0.453942	7.41403
612	-7933.6	-8183.726	250.1265	0.7614556	1.713388	0.480713	0.519287	7.23406
618	-7934.691	-8185.251	250.5591	0.9463494	1.700454	0.545813	0.454187	6.906428
624	-7923.721	-8174.527	250.8059	0.9068012	1.947478	0.526302	0.473698	6.710473
630	-7924.353	-8175.035	250.6827	0.9041586	2.166621	0.526302	0.473698	6.710473
636	-7929.31	-8181.952	252.6415	1.02562	1.750231	0.575523	0.424477	5.714506
642	-7934.697	-8184.027	249.3305	0.8876681	2.073349	0.575523	0.424477	7.474864
648	-7926.951	-8179.002	252.0509	0.8876681	1.817533	0.500537	0.499463	6.088913
654	-7925.908	-8176.547	250.6394	0.8595172	2.021873	0.468278	0.531722	6.802175
660	-7923.53	-8174.876	251.3463	0.9234866	1.87797	0.511007	0.488993	6.431813
666	-7931.16	-8182.527	251.3674	0.8889614	1.7999	0.524725	0.475275	6.465592
672	-7926.49	-8177.422	250.9319	0.9629223	2.117881	0.491038	0.508962	6.558554
678	-7924.028	-8174.582	250.5537	0.8003319	1.731703	0.540552	0.459448	6.976888
684	-7921.374	-8171.45	250.0761	0.915755	1.778107	0.520666	0.479334	7.155556
690	-7918.788	-8168.766	249.9782	0.8577244	1.901849	0.530824	0.469176	7.197703
696	-7932.968	-8183.55	250.5822	0.9046173	2.243575	0.4626	0.5374	6.741922
702	-7932.476	-8182.304	249.8278	0.8127592	1.752306	0.509674	0.490326	7.353178
708	-7934.194	-8184.614	250.4207	0.8636415	1.893231	0.47078	0.52922	6.959273
714	-7920.983	-8171.213	250.2297	0.8104169	1.994613	0.557596	0.442404	7.058015
720	-7918.666	-8168.917	250.2507	0.8364358	1.842942	0.5283	0.4717	7.082191
726	-7931.556	-8182.609	251.053	0.8976793	1.668204	0.539001	0.460999	6.677843
732	-7942.178	-8192.704	250.5259	0.8790838	1.804767	0.495829	0.504171	6.923982
738	-7929.288	-8179.901	250.6122	0.8610738	1.704248	0.468371	0.531629	6.922441
744	-7931.066	-8182.159	251.0933	0.9021559	1.902507	0.50399	0.49601	6.572265
750	-7936.144	-8187.303	251.1599	0.9384056	1.773575	0.610044	0.389956	6.560371
756	-7953.574	-8203.837	250.263	0.9062351	1.784428	0.546541	0.453459	7.057946
762	-7944.207	-8195.614	251.4079	0.9668117	1.784428	0.499392	0.500608	6.406829
768	-7926.172	-8178.276	252.1043	0.8718197	1.872386	0.512897	0.487103	6.049777
774	-7929.014	-8179.69	250.6762	0.996499	1.814068	0.482821	0.517179	6.776405
780	-7928.022	-8178.976	250.9544	0.9004439	1.769405	0.564859	0.435141	6.693478
786	-7935.157	-8186.024	250.8672	0.9312262	1.772925	0.495125	0.504875	6.722717
792	-7932.377	-8182.852	250.4755	0.8479118	1.985798	0.538019	0.461981	6.90823
798	-7927.072	-8178.242	251.1701	0.8863188	1.985798	0.52449	0.47551	6.512216
804	-7927.712	-8178.376	250.664	0.993398	1.651656	0.522333	0.477667	6.842252
810	-7937.756	-8190.772	253.0157	1.035274	2.11414	0.525208	0.474792	5.382762
816	-7944.991	-8196.712	251.7205	1.00754	2.302415	0.525208	0.474792	6.051723
822	-7932.009	-8181.17	249.1612	0.8627414	1.72047	0.477424	0.522576	7.694587
828	-7933.934	-8182.607	248.6729	0.8687472	2.027799	0.509097	0.490903	7.850756
834	-7934.278	-8183.2	248.9226	0.9364192	1.795883	0.467788	0.532212	7.756614
840	-7913.087	-8164.204	251.1175	0.9297081	1.940814	0.482451	0.517549	6.531704
846	-7909.612	-8160.399	250.7873	0.8861936	1.891703	0.47775	0.52225	6.749901
852	-7924.522	-8175.054	250.5323	0.8122082	1.891703	0.47775	0.52225	6.927346
858	-7933.159	-8183.379	250.2202	0.8743697	2.035033	0.565166	0.434834	7.016022
864	-7943.393	-8193.966	250.5725	0.9464965	2.275252	0.498361	0.501639	6.715404
